title,url,domain,seendate,language,sourcecountry,event_id,phase
Starbucks to pay $35M to NYC workers over claims it violated labor law,https://apnews.com/article/starbucks-settlement-labor-law-wages-nyc-dfe280b1505fde8b23a847a342757155,apnews.com,2025-12-01,en,,REC1,pre
PRESSURE MOUNTS ON HILL...,https://apnews.com/article/congress-hegseth-boat-strikes-e68621ec48c7886215359c0110d6d9ca,apnews.com,2025-12-03,en,,REC1,post
ADMIRAL SET TO TESTIFY ON HILL... DEVELOPING...,https://apnews.com/article/pete-hegseth-boat-strike-admiral-congress-521606d39c04dcc040ea232dc9cfeeda,apnews.com,2025-12-04,en,,REC1,post
Iran Sentences Filmmaker Jafar Panahi To Prison While He’s Abroad Accepting Awards,https://apnews.com/article/iran-director-jafar-panahi-prison-e0680ecdf4889ee9312d4971b5ec35dc,apnews.com,2025-12-03,en,,REC1,post
AP: Pentagon knew boat attack left survivors but still launched follow-up strike...,https://apnews.com/article/trump-hegseth-pentagon-drug-boats-caribbean-ae33b738a2481932ffefaf58e0a2d6ab,apnews.com,2025-12-04,en,,REC1,post
Filmmaker Jafar Panahi Says He’ll Go Home To Iran Despite Latest Prison Sentence,https://apnews.com/article/iran-film-director-jafar-panahi-c537029161f66c707501d97a33d98599,apnews.com,2025-12-04,en,,REC1,post
Putin accuses Europeans of sabotaging 'peace' efforts to end war...,https://apnews.com/article/russia-ukraine-war-envoy-witkoff-zelenskyy-ireland-91d8a82058a80521f0f9491105fba8e1,apnews.com,2025-12-02,en,,REC1,post
"As Trump’s standoff with Maduro deepens, experts warn the next move may force a showdown",https://www.foxnews.com/politics/trumps-standoff-maduro-deepens-experts-warn-next-move-may-force-showdown,www.foxnews.com,2025-12-04,en,,REC1,post
‘Missiles detonating mere feet away’: Air Force F-16 commander earns rare Silver Star for Middle East mission,https://www.foxnews.com/us/missiles-detonating-mere-feet-away-air-force-f-16-commander-earns-rare-silver-star-middle-east-mission,www.foxnews.com,2025-12-03,en,,REC1,post
Did a military lawyer witness the Venezuela 'double tap' boat strike? Experts say one should have,https://www.foxnews.com/politics/did-military-lawyer-witness-venezuela-double-tap-boat-strike-experts-say-one-should-have,www.foxnews.com,2025-12-04,en,,REC1,post
"IG: Hegseth broke Pentagon rules using Signal to share strike details, though no classified info was released",https://www.foxnews.com/politics/ig-hegseth-broke-pentagon-rules-using-signal-share-strike-details-though-no-classified-info-released,www.foxnews.com,2025-12-04,en,,REC1,post
Pentagon probe into secret Signal chats on Houthi strikes set to drop Thursday as Hegseth faces scrutiny,https://www.foxnews.com/politics/pentagon-probe-secret-signal-chats-houthi-strikes-set-drop-thursday-hegseth-faces-scrutiny,www.foxnews.com,2025-12-03,en,,REC1,post
"Hegseth did not issue 'kill them all' order during Venezuela strikes, admiral tells Congress",https://www.foxnews.com/politics/hegseth-did-not-issue-kill-them-all-order-during-venezuela-strikes-admiral-tells-congress,www.foxnews.com,2025-12-04,en,,REC1,post
Why the media's Hegseth boat-strike tale fails the Pentagon reality test,https://www.foxnews.com/opinion/why-medias-hegseth-boat-strike-tale-fails-pentagon-reality-test,www.foxnews.com,2025-12-03,en,,REC1,post
Trump backs release of second Caribbean strike footage as scrutiny over ops intensifies,https://www.foxnews.com/politics/trump-backs-release-second-caribbean-strike-footage-scrutiny-over-ops-intensifies,www.foxnews.com,2025-12-03,en,,REC1,post
Rand Paul joins Dems on 'war powers resolution' claiming Trump admin could soon strike Venezuelan territory,https://www.foxnews.com/politics/rand-paul-joins-dems-war-powers-resolution-claiming-trumo-admin-could-soon-strike-venezuelan-territory,www.foxnews.com,2025-12-04,en,,REC1,post
